metric,value,real,fake,net
fid,34.00187447197875,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,unfreeze_feature_network-CROPPED64,mae_vitb16
fid,861.4484150556427,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,unfreeze_feature_network-CROPPED64,vicreg_rn50_solar_v2
fid,326.63130623005014,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,diffusion_125steps_train_125_steps_inference_58Ktraining-CROPPED64,vicreg_rn50_solar_v2
fid,0.0828704522975876,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,"discriminator_1,2,3-CROPPED64",mae_vitb16
fid,0.1112538226028925,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_1000steps_train_250_steps_inference_58Ktraining,clip_rn50
fid,1.7309146285109591,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,"discriminator_1,2-CROPPED128",mae_solarp128_vitb16
fid,0.0685832004759916,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,no_cross_scale_mixing-CROPPED64,mae_vitb16
fid,1.1830306903377732,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,"discriminator_1,2,3-CROPPED128",
fid,7.0261930180571,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_500steps_train_250_steps_inference_58Ktraining,mae_vitb16
fid,467.37414701245007,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,augmentations_off,mae_solar_vitb16_v2
fid,1.7185789845051147,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,efficientnet-lite3-CROPPED64,vicreg_rn50_solar_v2
fid,1.1822891382042826,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,no_cross_scale_mixing-CROPPED64,
fid,9.608129218192545,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,diffusion_1000steps_train_250_steps_inference_54Ktraining_no_random_flip-CROPPED128,inception_v3
fid,0.0038376842839681,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,augmentations_off,inception_v3_other_block_0
fid,26.628491246279,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_4000steps_train_250_steps_inference_58Ktraining,inception_v3
fid,1.649245308138859,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,no_cross_scale_and_no_cross_channel_mixing-CROPPED64,
fid,0.0249858616977862,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,"discriminator_1,2",random_inception_v3
fid,5.258620963889625,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,full_projectedgan_baseline,vicreg_rn50_solar_v2
fid,2.256217322323778,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED256,"discriminator_1,2-CROPPED256",
fid,3.5470727922782146,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,augmentations_off-CROPPED128,inception_v3
fid,0.9580927137967024,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED256,efficientnet-lite2-CROPPED256,inception_v3
fid,5.412397124402787,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,full_projectedgan_baseline,
fid,36.149085565692985,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,randomly_initialized_feature_network-CROPPED128,inception_v3
